Country,Code
Spain,1
Uruguay,2
Portugal,4
Brazil,5
Great Britain,7
Netherlands,8
U.S.A.,9
France,10
Denmark,11
"Hanse Towns,Brandenburg",12
Sweden,13
Norway,14
Argentina,16
Russia,17
Sardinia,18
Mexico,19
Genoa,24
